,Date,Open,High,Low,Close,Volume,SMA5,EMA5,WMA5,CMA,CBI,BIAS,MACD-DIF,MACD-DEM,MACD-OSC,MTM,MTM-SMA,CMO,RSI-F,RSI-S,RSI-SM,KDJ-RSV,KDJ-K,KDJ-D,KDJ-J,KDJ-J2,ATR,OBV,OBV-SMA,BBANDS-UP,BBANDS-SMA,BBANDS-DN,CDP-AH,CDP-NH,CDP,CDP-NL,CDP-AL,LOHAS-AH,LOHAS-NH,LOHAS-T,LOHAS-NL,LOHAS-AL,LOHAS-UP,LOHAS-MD,LOHAS-DN,DC-UP,DC-MD,DC-DN
0,2020-12-01,79.57,79.95,79.28,79.95,24728091,,,,79.95,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,12364046.0,,,,,,,,,,121.24,112.75,104.26,95.77,87.28,,,,,,
1,2020-12-02,80.05,80.34,79.47,79.76,34377676,,,,79.86,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,17188838.0,,,,,80.45,80.28,79.78,79.61,79.11,121.26,112.77,104.28,95.79,87.3,,,,,,
2,2020-12-03,79.37,79.47,78.99,79.08,30592924,,,,79.6,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,15296462.0,,,,,80.7,80.2,79.83,79.33,78.96,121.28,112.79,104.3,95.81,87.32,,,,,,
3,2020-12-04,80.05,80.43,79.66,79.95,47939163,,,,79.68,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,23969582.0,,,,,79.64,79.32,79.16,78.84,78.68,121.3,112.81,104.32,95.83,87.34,,,,,,
4,2020-12-07,80.34,84.97,80.15,84.77,163202466,80.7,81.41,81.36,80.7,,0.05,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,,81601233.0,,85.31,80.7,76.1,80.77,80.34,80.0,79.56,79.23,121.32,112.83,104.34,95.85,87.36,,,,,,
5,2020-12-08,85.26,86.51,84.2,84.49,118078656,81.61,82.44,82.62,81.33,,0.04,,,,,,,87.07,,,50.0,50.0,50.0,50.0,50.0,,59039328.0,,87.17,81.61,76.05,88.48,87.18,83.66,82.36,78.84,121.34,112.85,104.36,95.87,87.38,,,,,,
6,2020-12-09,85.35,86.12,85.06,85.84,67687451,82.83,83.57,84.03,81.98,,0.04,,,,,,,90.91,,,50.0,50.0,50.0,50.0,50.0,,33843726.0,,88.99,82.83,76.67,87.23,85.64,84.92,83.34,82.61,121.36,112.87,104.38,95.89,87.4,,,,,,
7,2020-12-10,85.26,85.55,84.0,84.58,54001144,83.93,83.91,84.61,82.3,,0.01,,,,,,,65.47,,,50.0,50.0,50.0,50.0,50.0,,27000572.0,,88.5,83.93,79.35,86.78,86.37,85.72,85.31,84.66,121.38,112.89,104.4,95.91,87.42,,,,,,
8,2020-12-11,85.35,85.35,82.75,84.49,61132200,84.83,84.1,84.8,82.55,,-0.0,,,,,,,63.69,,,73.14,57.71,52.57,42.29,67.99,,30566100.0,,85.98,84.83,83.69,86.23,85.36,84.68,83.81,83.13,121.4,112.91,104.42,95.93,87.44,,,,,,
9,2020-12-14,85.16,85.84,84.58,84.58,47831161,84.8,84.26,84.72,82.75,,-0.0,,,,,,,65.02,,,74.34,63.25,56.13,41.89,77.49,,23915580.0,,85.97,84.8,83.63,86.87,85.79,84.27,83.19,81.67,121.42,112.93,104.44,95.95,87.46,,,,,,
10,2020-12-15,85.16,85.16,83.42,84.0,38829235,84.7,84.17,84.45,82.86,,-0.01,,,,,,,48.84,,70.17,66.62,64.37,58.88,47.9,75.35,,19414618.0,,86.06,84.7,83.33,86.16,85.21,84.9,83.95,83.64,121.44,112.95,104.46,95.97,87.48,,,,,,
11,2020-12-16,84.87,85.06,84.29,85.06,46567554,84.54,84.47,84.57,83.05,,0.01,,,,,,,68.74,69.88,67.11,78.83,69.19,62.32,48.58,82.93,,23283777.0,,85.3,84.54,83.79,85.88,84.87,84.14,83.13,82.4,121.47,112.98,104.49,96.0,87.51,,,,,,
12,2020-12-17,85.16,85.26,84.49,84.68,28002430,84.56,84.54,84.62,83.17,,0.0,,,,4.73,,,57.51,64.03,61.55,71.23,69.87,64.84,54.78,79.93,,14001215.0,,85.33,84.56,83.8,85.64,85.44,84.87,84.68,84.1,121.49,113.0,104.51,96.02,87.53,,,,,,
13,2020-12-18,84.97,85.06,84.39,84.58,27662859,84.58,84.55,84.63,83.27,,0.0,,,,4.82,,,54.25,62.41,59.68,48.67,62.8,64.16,66.88,60.08,1.62,13831430.0,,85.34,84.58,83.82,85.55,85.07,84.78,84.3,84.01,121.51,113.02,104.53,96.04,87.55,,,,,,
14,2020-12-21,84.97,85.35,83.81,84.87,28796357,84.64,84.66,84.72,83.38,,0.0,,,,5.79,,,62.82,65.41,59.53,62.91,62.84,63.72,65.48,61.08,1.61,14398178.0,,85.44,84.64,83.84,85.32,84.92,84.65,84.24,83.98,121.53,113.04,104.55,96.06,87.57,,,,,,
15,2020-12-22,84.87,87.28,84.39,84.58,93748698,84.75,84.63,84.7,83.45,,-0.0,,,,4.63,,,49.77,59.76,56.99,40.4,55.36,60.93,72.07,44.22,1.7,46874349.0,,85.17,84.75,84.34,86.26,85.64,84.72,84.1,83.18,121.55,113.06,104.57,96.08,87.59,,,,,,
16,2020-12-23,85.35,86.22,85.16,85.64,56084453,84.87,84.97,85.0,83.58,,0.01,,,,0.87,,,75.65,70.7,61.46,63.8,58.17,60.01,63.69,54.49,1.7,28042226.0,,85.76,84.87,83.98,88.1,86.03,85.21,83.14,82.32,121.57,113.08,104.59,96.1,87.61,,,,,,
17,2020-12-24,86.32,86.7,85.84,86.41,41068845,85.22,85.45,85.51,83.74,,0.01,,,,1.92,,,84.02,76.24,64.0,77.46,64.6,61.54,55.42,70.72,1.65,20534422.0,,86.81,85.22,83.62,86.72,86.17,85.66,85.11,84.6,121.59,113.1,104.61,96.12,87.63,,,,,,
18,2020-12-25,87.67,88.92,87.57,88.54,113953143,86.01,86.48,86.62,83.99,,0.03,,,,2.7,,,93.15,85.32,69.94,93.09,74.1,65.73,48.99,90.84,1.71,56976572.0,,89.18,86.01,82.84,87.2,86.84,86.34,85.98,85.48,121.61,113.12,104.63,96.14,87.65,,,,,,
19,2020-12-28,89.11,89.69,88.54,88.54,67270084,86.74,87.17,87.46,84.22,,0.02,,,,3.96,,,93.15,85.32,76.43,80.44,76.21,69.22,55.24,90.19,1.67,33635042.0,29788865.0,90.27,86.74,83.21,89.74,89.22,88.39,87.87,87.04,121.63,113.14,104.65,96.16,87.67,87.95,84.22,80.59,89.69,84.34,78.99
20,2020-12-29,88.54,88.54,87.19,87.19,45541806,87.26,87.17,87.61,84.36,,-0.0,,,,2.7,,,54.49,63.75,75.04,57.48,69.97,69.47,68.47,70.97,1.65,22770903.0,30309208.0,89.84,87.26,84.69,89.98,89.12,88.83,87.97,87.68,121.65,113.16,104.67,96.18,87.69,88.48,84.58,80.89,89.69,84.34,78.99
